 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
   114.50       9.29E-17  2.22E-15    88.41  5.25E+14  1.96E-13     5328244
   115.50       8.98E-17  2.23E-15    88.36  5.21E+14  1.97E-13     5331082
   116.50       9.46E-17  2.24E-15    88.37  5.16E+14  1.98E-13     5330258
   117.50       9.39E-17  2.26E-15    88.25  5.12E+14  1.99E-13     5337944
   118.50       1.28E-16  2.27E-15    88.20  5.08E+14  2.00E-13     5340310
   119.50       9.58E-17  2.29E-15    88.15  5.04E+14  2.01E-13     5344155
   120.50       1.29E-16  2.30E-15    88.13  5.01E+14  2.03E-13     5345040
   121.50       9.69E-17  2.31E-15    88.03  4.97E+14  2.04E-13     5350763
   122.50       1.72E-16  2.32E-15    87.94  4.93E+14  2.04E-13     5356736
   123.50       9.75E-17  2.34E-15    87.88  4.89E+14  2.06E-13     5360349
   124.50       9.53E-17  2.35E-15    87.89  4.86E+14  2.06E-13     5359081
   125.50       1.40E-16  2.36E-15    87.88  4.84E+14  2.07E-13     5360207
   126.50       9.94E-17  2.37E-15    87.75  4.80E+14  2.08E-13     5367774
   127.50       8.85E-17  2.38E-15    87.64  4.77E+14  2.09E-13     5374695
   128.50       1.28E-16  2.39E-15    87.69  4.74E+14  2.10E-13     5371877
   129.50       1.02E-16  2.40E-15    87.59  4.71E+14  2.10E-13     5377593
   130.50       1.04E-16  2.42E-15    87.64  4.67E+14  2.12E-13     5374974
   131.50       1.89E-16  2.43E-15    87.50  4.65E+14  2.12E-13     5383004
   132.50       1.08E-16  2.43E-15    87.49  4.63E+14  2.13E-13     5384003
   133.50       1.07E-16  2.44E-15    87.44  4.60E+14  2.13E-13     5387431
   134.50       1.11E-16  2.45E-15    87.44  4.57E+14  2.14E-13     5387427
   135.50       1.07E-16  2.46E-15    87.40  4.55E+14  2.15E-13     5389890
   136.50       1.34E-16  2.47E-15    87.28  4.53E+14  2.16E-13     5396897
   137.50       1.07E-16  2.48E-15    87.29  4.50E+14  2.16E-13     5396096
   138.50       1.16E-16  2.49E-15    87.22  4.48E+14  2.17E-13     5400484
   139.50       2.20E-16  2.49E-15    87.26  4.46E+14  2.18E-13     5398734
   140.50       1.50E-16  2.50E-15    87.16  4.44E+14  2.18E-13     5404123
   141.50       1.22E-16  2.51E-15    87.08  4.41E+14  2.19E-13     5409874
   142.50       1.51E-16  2.52E-15    87.02  4.39E+14  2.19E-13     5413655
   143.50       2.27E-16  2.52E-15    87.04  4.38E+14  2.20E-13     5411589
   144.50       9.97E-17  2.53E-15    87.10  4.36E+14  2.21E-13     5407899
   145.50       1.38E-16  2.54E-15    86.91  4.34E+14  2.21E-13     5419473
   146.50       1.05E-16  2.55E-15    86.98  4.32E+14  2.22E-13     5415520
   147.50       1.02E-16  2.55E-15    86.90  4.30E+14  2.22E-13     5421028
   148.50       1.03E-16  2.56E-15    86.86  4.28E+14  2.23E-13     5422887
   149.50       1.23E-16  2.57E-15    86.88  4.27E+14  2.23E-13     5421988
   150.50       1.35E-16  2.57E-15    86.62  4.25E+14  2.23E-13     5438391
   151.50       1.30E-16  2.58E-15    86.52  4.23E+14  2.23E-13     5444617
   152.50       1.16E-16  2.59E-15    86.63  4.22E+14  2.24E-13     5437427
   153.50       1.02E-16  2.59E-15    86.63  4.21E+14  2.25E-13     5437027
   154.50       1.09E-16  2.60E-15    86.54  4.19E+14  2.25E-13     5443570
   155.50       1.37E-16  2.61E-15    86.55  4.17E+14  2.26E-13     5442474
   156.50       2.62E-16  2.61E-15    86.53  4.16E+14  2.26E-13     5443459
   157.50       1.30E-16  2.62E-15    86.35  4.14E+14  2.26E-13     5454741
   158.50       1.62E-16  2.63E-15    86.42  4.13E+14  2.27E-13     5450260
   159.50       1.10E-16  2.63E-15    86.36  4.12E+14  2.27E-13     5454296
   160.50       1.59E-16  2.63E-15    86.35  4.11E+14  2.27E-13     5455074
   161.50       1.18E-16  2.64E-15    86.38  4.09E+14  2.28E-13     5452937
   162.50       1.46E-16  2.65E-15    86.30  4.09E+14  2.28E-13     5458482
   163.50       1.35E-16  2.65E-15    86.15  4.07E+14  2.28E-13     5467870
   164.50       1.04E-16  2.66E-15    86.15  4.06E+14  2.29E-13     5467858
   165.50       9.85E-17  2.66E-15    86.11  4.04E+14  2.29E-13     5469474
   166.50       1.34E-16  2.67E-15    86.10  4.04E+14  2.30E-13     5471505
   167.50       1.00E-16  2.67E-15    86.16  4.03E+14  2.30E-13     5467582
   168.50       1.23E-16  2.68E-15    85.96  4.01E+14  2.30E-13     5479584
   169.50       1.23E-16  2.69E-15    86.00  4.00E+14  2.31E-13     5477762
   170.50       1.18E-16  2.69E-15    85.95  3.99E+14  2.31E-13     5480127
   171.50       1.02E-16  2.70E-15    85.95  3.98E+14  2.32E-13     5480787
   172.50       1.12E-16  2.70E-15    85.81  3.96E+14  2.32E-13     5488979
   173.50       1.14E-16  2.71E-15    85.83  3.97E+14  2.32E-13     5488300
   174.50       1.19E-16  2.71E-15    85.73  3.95E+14  2.33E-13     5494475
   175.50       1.14E-16  2.72E-15    85.76  3.94E+14  2.33E-13     5492963
   176.50       9.78E-17  2.73E-15    85.66  3.93E+14  2.33E-13     5499127
   177.50       1.82E-16  2.73E-15    85.64  3.92E+14  2.34E-13     5499664
   178.50       1.08E-16  2.73E-15    85.64  3.92E+14  2.34E-13     5500206
   179.50       1.11E-16  2.74E-15    85.48  3.90E+14  2.34E-13     5511311
   180.50       9.22E-17  2.75E-15    85.42  3.89E+14  2.35E-13     5514271
   181.50       2.12E-16  2.75E-15    85.38  3.88E+14  2.35E-13     5516949
   182.50       1.26E-16  2.76E-15    85.37  3.88E+14  2.35E-13     5518647
   183.50       1.23E-16  2.76E-15    85.25  3.87E+14  2.36E-13     5526303
   184.50       1.18E-16  2.77E-15    85.10  3.86E+14  2.35E-13     5534680
   185.50       1.14E-16  2.77E-15    85.13  3.85E+14  2.36E-13     5533452
   186.50       1.38E-16  2.78E-15    84.97  3.84E+14  2.36E-13     5543616
   187.50       1.14E-16  2.78E-15    85.14  3.83E+14  2.37E-13     5532891
